品牌名称,优惠金额,金额分类,使用限制分类,规则详细说明
,满9.9减9,其它金额,其它限制,9.9自营免邮券丨京东快递
,满100减50,其它金额,其它限制,50元面板定制商品券
,满5000减200,其它金额,其它限制,200元运费券 | BOM下单专享
,满30000减1000,其它金额,其它限制,海外代购TI.COM渠道优惠券
,满15000减450,其它金额,其它限制,海外代购TI.COM渠道优惠券
,满20000减300,其它金额,其它限制,300元海外代购券
,满20000减200,其它金额,其它限制,200元合作库存专属商品券
,满5000减150,其它金额,其它限制,海外代购TI.COM渠道优惠券
,满12000减100,其它金额,其它限制,100元合作库存专属商品券
,满100减30,其它金额,其它限制,30元BOM下单专享券
,满50减25,其它金额,其它限制,25元工业品新客首单券
JIERR(捷而瑞),满16减15,满16减15,其它限制,15元捷而瑞品牌商品券
HONOR(荣誉),满21减20,满21减20,品牌新人,<品牌新人>20元荣誉品牌商品券
ChengTao(诚韬),满21减20,满21减20,其它限制,20元诚韬品牌商品券
HENIPER(恒浦),满100减20,其它金额,其它限制,20元恒浦品牌商品券
KYX(凯越翔),满100减20,其它金额,其它限制,20元凯越翔品牌商品券
RealChip(正芯半导体),满500减20,其它金额,其它限制,20元正芯半导体品牌商品券
LGE(鲁光),满16减15,满16减15,其它限制,15元鲁光品牌商品券
APSEMI(先进光),满16减15,满16减15,其它限制,15元先进光品牌商品券
STE(松田),满16减15,满16减15,其它限制,15元松田品牌商品券
SUPSiC(国晶微半导体),满16减15,满16减15,其它限制,15元国晶微半导体品牌商品券
SRD(圣融达),满16减15,满16减15,其它限制,15元圣融达品牌商品券
Gyunrui(云睿),满16减15,满16减15,其它限制,15元云睿品牌商品券
cjiang(长江微电),满16减15,满16减15,品牌新人,<品牌新人>15元长江微电品牌商品券
FOSAN(富捷/富信),满16减15,满16减15,其它限制,15元富信品牌商品券
HOAUC(华宇创),满16减15,满16减15,品牌新人,<品牌新人>15元华宇创品牌商品券
BZCN(博众电气),满16减15,满16减15,其它限制,15元博众电气品牌商品券
G-Switch(品赞),满16减15,满16减15,其它限制,15元品赞品牌商品券
同晶,满16减15,满16减15,品牌新人,<品牌新人>15元同晶品牌指定类目商品券
GOODWORK(固得沃克),满16减15,满16减15,其它限制,15元固得沃克品牌商品券
CTR(长泰尔电子),满20减15,其它金额,品牌新人,<品牌新人>15元长泰尔电子品牌商品券
HTCSEMI(海天芯),满16减15,满16减15,其它限制,15元海天芯品牌商品券
MDD(辰达半导体),满16减15,满16减15,品牌新人,<品牌新人>15元MDD品牌商品券
HC(华橙熊猫),满20减15,其它金额,其它限制,15元华橙熊猫品牌商品券
CH(创慧电子),满16减15,满16减15,其它限制,15元创慧电子品牌商品券
WALSON(万盛),满16减15,满16减15,其它限制,15元万盛品牌商品券
SCTF(星通时频),满16减15,满16减15,其它限制,15元星通时频品牌商品券
FUXINSEMI(富芯森美),满16减15,满16减15,其它限制,15元富芯森美品牌商品券
KEXIN(科信),满16减15,满16减15,品牌新人,<品牌新人>15元科信品牌商品券
suntek(洺太电子),满16减15,满16减15,品牌新人,<品牌新人>15元洺太电子品牌商品券
INGHAi(赢海),满16减15,满16减15,品牌新人,<品牌新人>15元赢海品牌商品券
Milliohm(毫欧),满16减15,满16减15,商城新人,<商城新人>15元毫欧品牌商品券
TECH PUBLIC(台舟),满16减15,满16减15,其它限制,15元台舟品牌商品券
