品牌名称,品牌编号,品牌链接,优惠金额,金额分类,使用限制分类,规则详细说明
,,,满9.9减9,其它金额,其它限制,9.9自营免邮券丨京东快递
,,,满100减50,其它金额,其它限制,50元面板定制商品券
,,,满5000减200,其它金额,其它限制,200元运费券 | BOM下单专享
,,,满30000减1000,其它金额,其它限制,海外代购TI.COM渠道优惠券
,,,满15000减450,其它金额,其它限制,海外代购TI.COM渠道优惠券
,,,满20000减300,其它金额,其它限制,300元海外代购券
,,,满20000减200,其它金额,其它限制,200元合作库存专属商品券
,,,满5000减150,其它金额,其它限制,海外代购TI.COM渠道优惠券
,,,满12000减100,其它金额,其它限制,100元合作库存专属商品券
,,,满100减30,其它金额,其它限制,30元BOM下单专享券
,,,满50减25,其它金额,其它限制,25元工业品新客首单券
JIERR(捷而瑞),18279,https://list.szlcsc.com/brand/18279.html,满16减15,满16减15,其它限制,15元捷而瑞品牌商品券
HONOR(荣誉),991,https://list.szlcsc.com/brand/991.html,满21减20,满21减20,品牌新人,<品牌新人>20元荣誉品牌商品券
ChengTao(诚韬),17513,https://list.szlcsc.com/brand/17513.html,满21减20,满21减20,其它限制,20元诚韬品牌商品券
HENIPER(恒浦),11566,https://list.szlcsc.com/brand/11566.html,满100减20,其它金额,其它限制,20元恒浦品牌商品券
KYX(凯越翔),11898,https://list.szlcsc.com/brand/11898.html,满100减20,其它金额,其它限制,20元凯越翔品牌商品券
RealChip(正芯半导体),13712,https://list.szlcsc.com/brand/13712.html,满500减20,其它金额,其它限制,20元正芯半导体品牌商品券
LGE(鲁光),11743,https://list.szlcsc.com/brand/11743.html,满16减15,满16减15,其它限制,15元鲁光品牌商品券
APSEMI(先进光),17375,https://list.szlcsc.com/brand/17375.html,满16减15,满16减15,其它限制,15元先进光品牌商品券
STE(松田),11597,https://list.szlcsc.com/brand/11597.html,满16减15,满16减15,其它限制,15元松田品牌商品券
SUPSiC(国晶微半导体),12612,https://list.szlcsc.com/brand/12612.html,满16减15,满16减15,其它限制,15元国晶微半导体品牌商品券
SRD(圣融达),1056,https://list.szlcsc.com/brand/1056.html,满16减15,满16减15,其它限制,15元圣融达品牌商品券
Gyunrui(云睿),25414,https://list.szlcsc.com/brand/25414.html,满16减15,满16减15,其它限制,15元云睿品牌商品券
cjiang(长江微电),11425,https://list.szlcsc.com/brand/11425.html,满16减15,满16减15,品牌新人,<品牌新人>15元长江微电品牌商品券
FOSAN(富捷/富信),13045,https://list.szlcsc.com/brand/13045.html,满16减15,满16减15,其它限制,15元富信品牌商品券
HOAUC(华宇创),11834,https://list.szlcsc.com/brand/11834.html,满16减15,满16减15,品牌新人,<品牌新人>15元华宇创品牌商品券
BZCN(博众电气),12737,https://list.szlcsc.com/brand/12737.html,满16减15,满16减15,其它限制,15元博众电气品牌商品券
G-Switch(品赞),12389,https://list.szlcsc.com/brand/12389.html,满16减15,满16减15,其它限制,15元品赞品牌商品券
同晶,16268,https://list.szlcsc.com/brand/16268.html,满16减15,满16减15,品牌新人,<品牌新人>15元同晶品牌指定类目商品券
GOODWORK(固得沃克),12245,https://list.szlcsc.com/brand/12245.html,满16减15,满16减15,其它限制,15元固得沃克品牌商品券
CTR(长泰尔电子),15461,https://list.szlcsc.com/brand/15461.html,满20减15,其它金额,品牌新人,<品牌新人>15元长泰尔电子品牌商品券
